Book,Chapters,Pages,Verses
Genesis,50,58,1533
Exodus,40,49,1213
Leviticus,27,36,858
Numbers,36,51,1288
Deuteronomy,34,48,959
Joshua,24,29,NaN
Judges,21,30,NaN
Ruth,4,4,NaN
1 Samuel,31,38,NaN
2 Samuel,24,32,NaN
1 Kings,22,36,NaN
2 Kings,25,35,NaN
1 Chronicles,29,33,NaN
2 Chronicles,36,40,822
Ezra,10,12,NaN
Nehemiah,13,17,NaN
Esther,10,9,NaN
Job,42,40,NaN
Psalms,150,98,2461
Proverbs,31,34,NaN
Ecclesiastes,12,9,NaN
Song of Solomon,8,6,NaN
Isaiah,66,57,1291
Jeremiah,52,65,1364
Lamentations,5,7,NaN
Ezekiel,48,59,1273
Daniel,12,18,NaN
Hosea,14,8,NaN
Joel,3,3,NaN
Amos,9,6,NaN
Obadiah,1,1,21
Jonah,4,2,48
Micah,7,5,NaN
Nahum,3,2,47
Habakkuk,3,3,NaN
Zephaniah,3,3,NaN
Haggai,2,2,38
Zechariah,14,10,NaN
Malachi,4,3,NaN
