Book,Words
Jeremiah,33002
Genesis,32046
Psalms,30147
Ezekiel,29918
Exodus,25957
Isaiah,25608
Numbers,25048
Deuteronomy,23008
2 Chronicles,21349
1 Samuel,20837
1 Kings,20361
Luke,19482
Leviticus,18852
2 Kings,18784
Acts,18450
Matthew,18346
2 Samuel,17170
1 Chronicles,16664
Joshua,15671
John,15635
Judges,15385
Job,12674
Mark,11304
Proverbs,9921
Revelation,9851
Daniel,9001
Nehemiah,8507
Romans,7111
1 Corinthians,6830
Ezra,5605
Hebrews,4953
Esther,4932
Zechariah,4855
Ecclesiastes,4537
2 Corinthians,4477
Hosea,3615
Amos,3027
Ephesians,2422
Lamentations,2324
Galatians,2230
1 John,2141
Micah,2118
Ruth,2039
Song of Solomon,2020
James,1742
1 Peter,1684
Philippians,1629
1 Timothy,1591
Colossians,1582
1 Thessalonians,1481
Joel,1447
Malachi,1320
2 Timothy,1238
Zephaniah,1141
2 Peter,1099
Jonah,1082
Habakkuk,1011
Haggai,926
Nahum,855
2 Thessalonians,823
Titus,659
Jude,461
Obadiah,440
Philemon,335
2 John,245
3 John,219Book,Words
Jeremiah,33002
Genesis,32046
Psalms,30147
Ezekiel,29918
Exodus,25957
Isaiah,25608
Numbers,25048
Deuteronomy,23008
2 Chronicles,21349
1 Samuel,20837
1 Kings,20361
Luke,19482
Leviticus,18852
2 Kings,18784
Acts,18450
Matthew,18346
2 Samuel,17170
1 Chronicles,16664
Joshua,15671
John,15635
Judges,15385
Job,12674
Mark,11304
Proverbs,9921
Revelation,9851
Daniel,9001
Nehemiah,8507
Romans,7111
1 Corinthians,6830
Ezra,5605
Hebrews,4953
Esther,4932
Zechariah,4855
Ecclesiastes,4537
2 Corinthians,4477
Hosea,3615
Amos,3027
Ephesians,2422
Lamentations,2324
Galatians,2230
1 John,2141
Micah,2118
Ruth,2039
Song of Solomon,2020
James,1742
1 Peter,1684
Philippians,1629
1 Timothy,1591
Colossians,1582
1 Thessalonians,1481
Joel,1447
Malachi,1320
2 Timothy,1238
Zephaniah,1141
2 Peter,1099
Jonah,1082
Habakkuk,1011
Haggai,926
Nahum,855
2 Thessalonians,823
Titus,659
Jude,461
Obadiah,440
Philemon,335
2 John,245
3 John,219
